;;;;pib;Importaciones de bienes y servicios (US$ a precios actuales);Exportaciones de bienes y servicios (US$ a precios actuales);Total de reservas (incluye oro, US$ a precios actuales);Gasto público en educación, total (% del PIB);Esperanza de vida al nacer, total (años)
Papua Nueva Guinea;PNG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;23848265896;;;;1.350000024;65.787
Polonia;POL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5.99449E+11;2.83739E+11;3.17654E+11;1.54219E+11;5.190000057;76.6
previa al dividendo demográfico;PRE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.31635E+12;2.72219E+11;2.3329E+11;;3.166160107;60.24953184
Puerto Rico;PRI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.0302E+11;44508900000;62237400000;;3.389361382;78.041
Corea, República Popular Democrática de;PRK;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;73.274
Portugal;PRT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.29032E+11;89759221943;84848916302;29459811843;5.010000229;80.97560976
Paraguay;PRY;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;35432178068;10448648590;11907160304;9202411639;3.3036201;73.182
Ribera Occidental y Gaza;PSE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;15531700000;8065700000;2385300000;697074683.3;;74.403
Estados pequeos de las Islas del Pacfico;PSS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;9515995237;4494344648;2434555224;;;69.47061007
posterior al dividendo demográfico;PST;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4.96978E+13;1.30686E+13;1.31233E+13;;5.194999933;80.14748172
Polinesia Francesa;PYF;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5709421969;2036088037;638903797.7;;;82.217
Qatar;QAT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.44411E+11;59064560440;70933241758;40972506521;3.233669996;79.099
Rumania;ROU;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.51362E+11;1.03517E+11;92693685203;52190562712;3.690000057;74.35365854
Federación de Rusia;RUS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.48936E+12;3.04549E+11;3.81017E+11;5.9677E+11;3.730000019;71.33878049
Rwanda;RWA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;10184345442;3648739820;1966296256;1806068099;3.330549955;66.774
Asia meridional;SAS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.48701E+12;6.64151E+11;5.84921E+11;;2.860859394;69.74833092
Arabia Saudita;SAU;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;7.03368E+11;1.82128E+11;1.84162E+11;4.72851E+11;7.809309959;76.239
Sudán;SDN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;27034593750;80366887.63;124251341.1;;;65.614
Senegal;SEN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;24493157583;9634386521;5062666544;;5.497859955;68.006
Singapur;SGP;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.45296E+11;5.17982E+11;6.27461E+11;3.69834E+11;2.506659985;83.74390244
Islas Salomón;SLB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1536148246;495896948.9;429176711.2;660995997.3;12.75;70.199
Sierra Leona;SLE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4063289450;1481754390;613193854.9;707703898.1;8.809550285;59.763
El Salvador;SLV;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;24563020000;10764000000;6295300000;3082859548;4.070828438;71.061
San Marino;SMR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1541204338;2164228073;2534952774;781804749.8;3.424619913;
Somalia;SOM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;6883000000;5818000000;1178000000;;;55.967
Serbia;SRB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;53356480454;30146399931;25727980784;16586724161;;74.22926829
África al sur del Sahara (excluido altos ingresos);SSA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.71775E+12;3.5234E+11;3.28405E+11;;3.443020105;60.84748962
Sudán del Sur;SSD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;183614816.7;;55.48
África al sur del Sahara;SSF;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.71901E+12;3.53221E+11;3.29219E+11;;3.443020105;60.84889125
Pequeños Estados;SST;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4.53728E+11;2.44944E+11;2.45342E+11;;4.608170033;69.07364652
Santo Tomé y Príncipe;STP;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;472551022.5;;;75287733.68;5.011380196;67.785
Suriname;SUR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2911807496;;;584929135.6;5.007070065;72.561
República Eslovaca;SVK;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.06697E+11;89027250136;90771329911;9343714002;4.610000134;76.86585366
Eslovenia;SVN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;53706800044;36786335441;41751987336;1311110696;5.760000229;80.53170732
Suecia;SWE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5.47054E+11;2.15341E+11;2.39868E+11;58260344659;7.170000076;82.40731707
Eswatini;SWZ;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3982226055;1671259807;1788677595;545564174.1;5.342339993;59.692
Sint Maarten (Dutch part);SXM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;
Seychelles;SYC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1261198524;890330093.9;824294564.8;559681941.8;5.150730133;77.23658537
República Árabe Siria;SYR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;11079795397;3724322371;1637240366;;;72.14
Islas Turcas y Caicos;TCA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;924583000;;;;3.270499945;75.001
Chad;TCD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;10715396135;4501989152;2862741203;;2.90850997;52.777
Asia oriental y el Pacífico (BIRF y la AIF);TEA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.74644E+13;3.41243E+12;3.82799E+12;;3.569999933;75.96919243
Europa y Asia central (BIRF y la AIF);TEC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.89172E+12;1.26691E+12;1.3127E+12;;4.446203709;72.75084487
Togo;TGO;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;7574636979;2435066176;1718961198;;3.991250038;61.035
Tailandia;THA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4.99682E+11;2.31113E+11;2.57701E+11;2.58104E+11;3.145710945;79.274
Tayikistán;TJK;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;8133996648;3125471086;1409159166;2238305810;5.917162895;67.994
Turkmenistán;TKM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;68.687
América Latina y el Caribe (BIRF y la AIF);TLA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4.49446E+12;1.07763E+12;1.10951E+12;;4.552070141;72.92797072
Timor-Leste;TLS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2158392540;1039200830;792950616.5;656523631.7;4.153061867;68.475
Oriente Medio y Norte de África (BIRF y la AIF);TMN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.25855E+12;3.58099E+11;2.66003E+11;;3.631215096;72.1463762
Tonga;TON;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;484806718.3;314852170.9;99822518.51;298947629.8;6.520573139;70.928
Asia meridional (BIRF y la AIF);TSA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.48701E+12;6.64151E+11;5.84921E+11;;2.860859394;69.74833092
África al sur del Sahara (BIRF y la AIF);TSS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.71901E+12;3.53221E+11;3.29219E+11;;3.443020105;60.84889125
Trinidad y Tobago;TTO;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;21059428851;;;6953756951;4.103740215;74.406
Túnez;TUN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;42537832456;19691046793;16143151757;9810630875;;75.292
Turquía;TUR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;7.20289E+11;2.32097E+11;2.06962E+11;93511562720;3.359999895;75.85
Tuvalu;TUV;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;55054710.62;;;;;64.382
Tanzanía;TZA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;62409709111;9554154050;8921772261;;3.225150108;66.408
Uganda;UGA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;37600368181;8116375563;5796021005;;2.586280107;62.851
Ucrania;UKR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.56618E+11;63171510711;60801632199;29137541200;5.382319927;71.18512195
Ingreso mediano alto;UMC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.28514E+13;4.65277E+12;5.12098E+12;;4.134130001;75.84591492
Uruguay;URY;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;53560755047;11108020170;13435331107;16250371651;4.552070141;78.43
Estados Unidos;USA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.10605E+13;2.77612E+12;2.14862E+12;6.2837E+11;6.050000191;77.2804878
Uzbekistán;UZB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;59894305353;22604832998;14547166673;34903111839;4.922790051;70.331
San Vicente y las Granadinas;VCT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;872134555.6;;;205195146.8;;72.126
Venezuela;VEN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;71.095
Islas Vírgenes Británicas;VGB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;2.590500116;75.849
Islas Vírgenes (EE.UU.);VIR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4204000000;3212000000;1621000000;;;79.8195122
Viet Nam;VNM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.46616E+11;2.73356E+11;2.9248E+11;94833616150;4.111616611;75.378
Vanuatu;VUT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;896879875.2;375489686.3;149852660.8;613636752.1;2.242320061;70.299
Mundo;WLD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;8.51163E+13;2.17884E+13;2.24517E+13;;4.332049847;72.26501127
Samoa;WSM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;868904477.7;419573465.6;253685010.7;277056415.2;4.809160233;72.768
Kosovo;XKX;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;7716925356;4160415954;1674198291;1095367617;;76.567
Yemen, Rep. del;YEM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;946047183.9;;64.65
Sudáfrica;ZAF;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.3762E+11;78330057353;93184053997;55008491996;6.192880154;65.252
Zambia;ZMB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;18110631358;5892352309;8473994363;1203448374;3.702399969;62.38
Zimbabwe;ZWE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;21509698406;6180499303;5574671609;33405021.01;;61.124
