

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"PUNO"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"3,226 (100.000 %)","3,226 (100.000 %)","938,265","773,781 (82.469 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"GESTIONANDO OBRAS Y OPORTUNIDADES CON LIDERAZGO","49,176","7.825 %","6.355 %"
"FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO","45,631","7.261 %","5.897 %"
"REFORMA Y HONRADEZ POR MAS OBRAS","213,312","33.941 %","27.567 %"
"MOVIMIENTO DE INTEGRACION Y REVOLUCION ANDINA","112,254","17.861 %","14.507 %"
"MORAL Y DESARROLLO","89,532","14.246 %","11.571 %"
"SOMOS PUEBLO","55,834","8.884 %","7.216 %"
"PARTIDO FRENTE DE LA ESPERANZA 2021","19,218","3.058 %","2.484 %"
"ALIANZA PARA EL PROGRESO","10,960","1.744 %","1.416 %"
"PARTIDO POLITICO NACIONAL PERU LIBRE","32,559","5.181 %","4.208 %"
"TOTAL DE VOTOS VÁLIDOS","628,476","100.000 %","81.221 %"
"VOTOS EN BLANCO","77,417","","10.005 %"
"VOTOS NULOS","67,888","","8.774 %"
"TOTAL DE VOTOS EMITIDOS","773,781","","100.000 %"
""
""
"Actas","3,226"
"Actas procesadas 100.000 %","3,226"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","3,226"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
