

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"HUANCAVELICA"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"1,174 (100.000 %)","1,174 (100.000 %)","322,628","245,816 (76.192 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"MOVIMIENTO REGIONAL AGUA","88,443","44.690 %","35.979 %"
"MOVIMIENTO REGIONAL AYNI","92,496","46.738 %","37.628 %"
"ACCION POPULAR","8,625","4.358 %","3.509 %"
"PARTIDO DEMOCRATICO SOMOS PERU","8,340","4.214 %","3.393 %"
"TOTAL DE VOTOS VÁLIDOS","197,904","100.000 %","80.509 %"
"VOTOS EN BLANCO","35,101","","14.279 %"
"VOTOS NULOS","12,811","","5.212 %"
"TOTAL DE VOTOS EMITIDOS","245,816","","100.000 %"
""
""
"Actas","1,174"
"Actas procesadas 100.000 %","1,174"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","1,174"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
