

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"PIURA"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"4,855 (100.000 %)","4,855 (100.000 %)","1,432,214","1,122,135 (78.350 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"PIURA RENACE","43,064","4.643 %","3.838 %"
"ORGANIZACION POLITICA UNIDAD REGIONAL","230,072","24.807 %","20.503 %"
"MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL","101,706","10.966 %","9.064 %"
"REGION PARA TODOS","154,375","16.645 %","13.757 %"
"CONTIGO REGION","168,911","18.212 %","15.053 %"
"PARTIDO FRENTE DE LA ESPERANZA 2021","20,595","2.221 %","1.835 %"
"PARTIDO PATRIOTICO DEL PERU","2,529","0.273 %","0.225 %"
"FUERZA POPULAR","22,898","2.469 %","2.041 %"
"PODEMOS PERU","23,061","2.486 %","2.055 %"
"ALIANZA PARA EL PROGRESO","52,792","5.692 %","4.705 %"
"PARTIDO POLITICO NACIONAL PERU LIBRE","16,992","1.832 %","1.514 %"
"PARTIDO DEMOCRATICO SOMOS PERU","90,455","9.753 %","8.061 %"
"TOTAL DE VOTOS VÁLIDOS","927,450","100.000 %","82.650 %"
"VOTOS EN BLANCO","101,607","","9.055 %"
"VOTOS NULOS","93,078","","8.295 %"
"TOTAL DE VOTOS EMITIDOS","1,122,135","","100.000 %"
""
""
"Actas","4,855"
"Actas procesadas 100.000 %","4,855"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","4,855"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
