

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"CALLAO"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"2,775 (100.000 %)","2,775 (100.000 %)","830,749","645,978 (77.759 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"CONTIGO CALLAO","144,465","28.454 %","22.364 %"
"SI SE PUEDE CALLAO","10,417","2.052 %","1.613 %"
"POR TI CALLAO","17,522","3.451 %","2.712 %"
"FUERZA CALLAO SEGURO","13,306","2.621 %","2.060 %"
"MOVIMIENTO REGIONAL VIVA EL CALLAO","15,425","3.038 %","2.388 %"
"MOVIMIENTO REGIONAL MAS CALLAO","123,035","24.233 %","19.046 %"
"PARTIDO FRENTE DE LA ESPERANZA 2021","29,765","5.863 %","4.608 %"
"FUERZA POPULAR","22,055","4.344 %","3.414 %"
"PODEMOS PERU","24,330","4.792 %","3.766 %"
"RENOVACION POPULAR","28,438","5.601 %","4.402 %"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","34,398","6.775 %","5.325 %"
"PARTIDO MORADO","11,082","2.183 %","1.716 %"
"PARTIDO DEMOCRATICO SOMOS PERU","33,475","6.593 %","5.182 %"
"TOTAL DE VOTOS VÁLIDOS","507,713","100.000 %","78.596 %"
"VOTOS EN BLANCO","65,586","","10.153 %"
"VOTOS NULOS","72,679","","11.251 %"
"TOTAL DE VOTOS EMITIDOS","645,978","","100.000 %"
""
""
"Actas","2,775"
"Actas procesadas 100.000 %","2,775"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","2,775"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
