

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"JUNIN"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"3,436 (100.000 %)","3,436 (100.000 %)","998,021","748,183 (74.967 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"CORAZON PATRIOTA","30,182","5.066 %","4.034 %"
"MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN","204,713","34.359 %","27.361 %"
"JUNIN RENACE","114,035","19.139 %","15.242 %"
"MOVIMIENTO REGIONAL BLOQUE POPULAR JUNIN","14,961","2.511 %","2.000 %"
"CAMINEMOS JUNTOS POR JUNIN","141,946","23.824 %","18.972 %"
"RENOVACION POPULAR","24,074","4.041 %","3.218 %"
"ALIANZA PARA EL PROGRESO","43,959","7.378 %","5.875 %"
"PARTIDO MORADO","11,187","1.878 %","1.495 %"
"PARTIDO DEMOCRATICO SOMOS PERU","10,757","1.805 %","1.438 %"
"TOTAL DE VOTOS VÁLIDOS","595,814","100.000 %","79.635 %"
"VOTOS EN BLANCO","92,364","","12.345 %"
"VOTOS NULOS","60,005","","8.020 %"
"TOTAL DE VOTOS EMITIDOS","748,183","","100.000 %"
""
""
"Actas","3,436"
"Actas procesadas 100.000 %","3,436"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","3,436"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
