

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"AREQUIPA"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"3,951 (100.000 %)","3,951 (100.000 %)","1,162,967","937,766 (80.636 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"YO AREQUIPA","293,522","38.403 %","31.300 %"
"MOVIMIENTO REGIONAL REVALORA","23,145","3.028 %","2.468 %"
"AREQUIPA - UNIDOS POR EL GRAN CAMBIO","16,300","2.133 %","1.738 %"
"FUERZA AREQUIPEÑA","57,179","7.481 %","6.097 %"
"MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS","116,035","15.182 %","12.374 %"
"AREQUIPA, TRADICION Y FUTURO","139,693","18.277 %","14.896 %"
"PARTIDO FRENTE DE LA ESPERANZA 2021","11,697","1.530 %","1.247 %"
"JUNTOS POR EL PERU","14,919","1.952 %","1.591 %"
"RENOVACION POPULAR","9,584","1.254 %","1.022 %"
"ALIANZA PARA EL PROGRESO","23,107","3.023 %","2.464 %"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","13,205","1.728 %","1.408 %"
"PARTIDO MORADO","4,644","0.608 %","0.495 %"
"PARTIDO POLITICO NACIONAL PERU LIBRE","28,483","3.727 %","3.037 %"
"PARTIDO DEMOCRATICO SOMOS PERU","12,805","1.675 %","1.365 %"
"TOTAL DE VOTOS VÁLIDOS","764,318","100.000 %","81.504 %"
"VOTOS EN BLANCO","85,514","","9.119 %"
"VOTOS NULOS","87,934","","9.377 %"
"TOTAL DE VOTOS EMITIDOS","937,766","","100.000 %"
""
""
"Actas","3,951"
"Actas procesadas 100.000 %","3,951"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","3,951"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
