

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"TACNA"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"974 (100.000 %)","974 (100.000 %)","287,320","233,608 (81.306 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"NUEVA ESPERANZA","17,612","8.847 %","7.539 %"
"BANDERAS TACNEÑISTAS","31,677","15.913 %","13.560 %"
"IGUALDAD NACIONAL CRISTIANA AUTONOMA - INCA","2,688","1.350 %","1.151 %"
"FRENTE ESPERANZA POR TACNA","27,554","13.842 %","11.795 %"
"MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA","60,992","30.639 %","26.109 %"
"SIEMPRE TACNA","41,463","20.829 %","17.749 %"
"PARTIDO FRENTE DE LA ESPERANZA 2021","2,922","1.468 %","1.251 %"
"PODEMOS PERU","3,032","1.523 %","1.298 %"
"RENOVACION POPULAR","2,290","1.150 %","0.980 %"
"ALIANZA PARA EL PROGRESO","1,517","0.762 %","0.649 %"
"PARTIDO POLITICO NACIONAL PERU LIBRE","5,030","2.527 %","2.153 %"
"PARTIDO DEMOCRATICO SOMOS PERU","2,290","1.150 %","0.980 %"
"TOTAL DE VOTOS VÁLIDOS","199,067","100.000 %","85.214 %"
"VOTOS EN BLANCO","17,715","","7.583 %"
"VOTOS NULOS","16,826","","7.203 %"
"TOTAL DE VOTOS EMITIDOS","233,608","","100.000 %"
""
""
"Actas","974"
"Actas procesadas 100.000 %","974"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","974"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
