

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"LORETO"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"2,487 (100.000 %)","2,487 (100.000 %)","722,741","481,997 (66.690 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"MOVIMIENTO INDEPENDIENTE LORETO - MI LORETO","25,466","6.295 %","5.283 %"
"MISION ORGANIZADA VIA INTEGRIDAD Y LIBERTAD","8,974","2.218 %","1.862 %"
"MOVIMIENTO INDEPENDIENTE REIVINDIQUEMOS LORETO","49,730","12.293 %","10.317 %"
"MOVIMIENTO ESPERANZA REGION AMAZONICA","96,700","23.904 %","20.062 %"
"MOVIMIENTO INDEPENDIENTE POLITICO VOLUNTAD GENERAL AMAZONICA - VOGA","9,294","2.297 %","1.928 %"
"JUNTOS POR LORETO","9,566","2.365 %","1.985 %"
"LORETO PARA TODOS","7,482","1.850 %","1.552 %"
"FUERZA POPULAR","3,331","0.823 %","0.691 %"
"ALIANZA PARA EL PROGRESO","53,820","13.304 %","11.166 %"
"PARTIDO POLITICO NACIONAL PERU LIBRE","8,059","1.992 %","1.672 %"
"PARTIDO DEMOCRATICO SOMOS PERU","132,111","32.658 %","27.409 %"
"TOTAL DE VOTOS VÁLIDOS","404,533","100.000 %","83.929 %"
"VOTOS EN BLANCO","36,229","","7.516 %"
"VOTOS NULOS","41,235","","8.555 %"
"TOTAL DE VOTOS EMITIDOS","481,997","","100.000 %"
""
""
"Actas","2,487"
"Actas procesadas 100.000 %","2,487"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","2,487"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
