

"Resultados de elecciones regionales - Gobernador y vicegobernador"
"Elecciones regionales y municipales 2022"
""
"Ubigeo"
"LIMA"
""
"Actas procesadas","Actas contabilizadas","Electores hábiles","Participación ciudadana"
"2,657 (100.000 %)","2,657 (100.000 %)","772,470","615,601 (79.693 %)"
""
"Actualización"
"Fecha de actualización: 02/12/2022 -  16:59 h"
""
""
"Organización política","Total","% Votos válidos","% Votos emitidos"
"PATRIA JOVEN","100,226","19.827 %","16.281 %"
"MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA","137,052","27.112 %","22.263 %"
"CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA","71,969","14.237 %","11.691 %"
"PARTIDO FRENTE DE LA ESPERANZA 2021","14,637","2.896 %","2.378 %"
"RENOVACION POPULAR","49,997","9.891 %","8.122 %"
"ALIANZA PARA EL PROGRESO","33,266","6.581 %","5.404 %"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","16,674","3.299 %","2.709 %"
"PARTIDO POLITICO NACIONAL PERU LIBRE","16,710","3.306 %","2.714 %"
"PARTIDO DEMOCRATICO SOMOS PERU","64,964","12.852 %","10.553 %"
"TOTAL DE VOTOS VÁLIDOS","505,495","100.000 %","82.114 %"
"VOTOS EN BLANCO","62,125","","10.092 %"
"VOTOS NULOS","47,981","","7.794 %"
"TOTAL DE VOTOS EMITIDOS","615,601","","100.000 %"
""
""
"Actas","2,657"
"Actas procesadas 100.000 %","2,657"
"Actas enviadas al JEE","0"
""
"Información referencial"
"Mesas instaladas (N)","2,657"
"Mesas no instaladas (O)","0"
"Mesas por informar (P)","0"
""
